,House,Price,Ubication,Features
40,"Casa En Recuperación Cumbres De Lago, Juriquilla, Queretaro. Kr25","1,412,560","Blvrd De Los Gobernadores 1002-int 1 - 300, Monte Blanco III Cond. III, Querétaro, QuerétaroVer información de la zona","['Superficie total205 m²', 'Superficie construida310 m²', 'Recámaras4', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad12 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos1', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento0 MXN']"
41,"Casa De Recuperacion En Venta Fraccionamiento Monte Blanco Iii, Santiago De Queretaro Jf08","2,616,800","Tejeda, Tejeda, Querétaro, QuerétaroVer información de la zona","['Superficie total222.35 m²', 'Superficie construida108.2 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad15 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónSur', 'Mantenimiento100 MXN']"
42,"Gran Oportunidad De Inversion -casa En El Pueblito, Queretaro /crg","1,302,000","Campestre Huertas la Joya, Querétaro, QuerétaroVer información de la zona","['Superficie total180 m²', 'Superficie construida210 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad12 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónOriente', 'Mantenimiento0 MXN']"
43,Casa Venta Huertas La Joya,"29,500,000","Cto Del Sol 1 - 300, Candiles, Querétaro, QuerétaroVer información de la zona","['Superficie total19,000 m²', 'Superficie construida3,229 m²', 'Recámaras3', 'Baños4', 'Estacionamientos0', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes7', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
44,"Casa En Venta, Recuperación Bancaria, Col. Colinas Del Sol, Candiles, Queretaro. Jf08","758,342","C. Fuerte De Coín 1 - 300, El Vergel, Querétaro, QuerétaroVer información de la zona","['Superficie total68 m²', 'Superficie construida70 m²', 'Recámaras2', 'Baños2', 'Estacionamientos1', 'Es propiedad en remateSí', 'Antigüedad24 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónSur', 'Mantenimiento100 MXN']"
45,Sk05- Casas En Remates Bancarios Calle Fuerte De Coin Fracc Vergel Queretaro,"375,262","Querétaro, QuerétaroVer información de la zona","['Superficie total75 m²', 'Superficie construida90 m²', 'Recámaras1', 'Baños1', 'Estacionamientos1', 'Es propiedad en remateSí', 'Antigüedad12 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos1', 'Tipo de casaCasa', 'OrientaciónNorte']"
46,Adquiere Tu Casa Nueva A Solo 12 Min De Plaza Patio 24-1520lp~,"1,350,000","Blvd. Hacienda La Gloria 1701-casa 1 - 300, Residencial Parque La Gloria, Querétaro, QuerétaroVer información de la zona","['Superficie total69 m²', 'Superficie construida66 m²', 'Recámaras2', 'Baños1', 'Estacionamientos1', 'Es propiedad en remateNo', 'Antigüedad1 años', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'Mantenimiento500 MXN']"
47,"Casa En Venta, Recuperación Bancaria, Col. Parque La Gloria, Santiago De Queretaro , Queretaro. Jf08","911,920","Portal De San Marcos 527, Villas De Santiago, Santiago De Querétaro, Villas De Santiago, Querétaro, QuerétaroVer información de la zona","['Superficie total158 m²', 'Superficie construida103 m²', 'Recámaras4', 'Baños3', 'Estacionamientos1', 'Es propiedad en remateSí', 'Antigüedad16 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónSur', 'Mantenimiento100 MXN']"
48,"Casa En Venta, Recuperación Bancaria, Col. Villas De Santiago, Santiago De Queretaro , Queretaro. Jf08","583,275","Cordillera De Los Andes 2156, Colinas Del Poniente, 76116 Santiago De Querétaro, Qro., México, Santiago, Querétaro, QuerétaroVer información de la zona","['Superficie total120 m²', 'Superficie construida152 m²', 'Recámaras3', 'Baños2', 'Estacionamientos1', 'Es propiedad en remateSí', 'Antigüedad10 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónSur', 'Mantenimiento100 MXN']"
49,"Vendo Casa En Cordillera De Los Andes, Colinas Del Poniente.","2,800,000","Manuel Orozco Y Berra 151, Zona Dos Extendida, Prados Del Mirador, Santiago De Querétaro, Prados Del Mirador, Querétaro, QuerétaroVer información de la zona","['no disponible', 'no disponible']"
