Price,Total_Area_m^2,Built_Area_m^2,Bedrooms,Bathrooms,Parking,Neighborhood
782000.0,380.0,350.0,4.0,4.0,3.0,JURIQUILLA
700000.0,220.0,217.0,3.0,3.0,2.0,COLINAS DEL CIMATARIO
699000.0,230.0,230.0,4.0,2.0,3.0,REAL DE JURIQUILLA
3350000.0,300.0,170.0,3.0,2.0,2.0,CALESA
510000.0,200.0,175.0,4.0,2.0,2.0,LA CAMPANA
750000.0,375.0,375.0,5.0,3.0,4.0,JURIQUILLA
2750000.0,112.0,108.0,3.0,3.0,2.0,CLAUSTROS DE LA CATEDRAL
6100000.0,254.0,0.0,3.0,5.0,2.0,EL CAMPANARIO
25000000.0,839.0,635.0,4.0,4.0,8.0,PASEOS DEL PEDREGAL
21800000.0,556.0,525.0,4.0,5.0,4.0,CIMATARIO
2100000.0,118.73,108.07,3.0,2.0,2.0,SAN PEDRITO EL ALTO
6700000.0,250.0,180.0,3.0,3.0,2.0,RANCHO LARGO
795000.0,450.0,310.0,4.0,3.0,4.0,JURIQUILLA
13990000.0,460.0,280.0,3.0,5.0,3.0,ALAMOS 3
4990000.0,250.0,240.0,3.0,2.0,3.0,REAL DE JURIQUILLA (DIAMANTE)
2810000.0,145.77,132.0,3.0,2.0,2.0,SAN ISIDRO
5790000.0,203.0,183.0,3.0,3.0,2.0,EL REFUGIO
2340000.0,126.0,0.0,3.0,2.0,2.0,JURIQUILLA
7248750.0,325.0,203.47,3.0,5.0,2.0,REAL DE JURIQUILLA (DIAMANTE)
2840000.0,133.0,128.0,3.0,2.0,2.0,JURIQUILLA
3606000.0,134.0,123.0,3.0,2.0,2.0,EL CAMPANARIO
367500.0,80.0,50.0,2.0,1.0,1.0,ANGELES
1600000.0,90.0,90.0,3.0,2.0,2.0,JURICA
1630000.0,192.0,144.0,3.0,3.0,2.0,CENTRO
5400000.0,310.0,260.0,3.0,3.0,2.0,PALMARES
8000000.0,237.0,170.0,2.0,2.0,0.0,EX-HACIENDA EL TINTERO
750000.0,195.0,195.0,3.0,2.0,1.0,RANCHO BELLAVISTA
550000.0,126.0,119.0,3.0,2.0,1.0,REAL DEL MARQUES RESIDENCIAL
610000.0,98.0,67.0,2.0,1.0,1.0,LA AURORA
3300000.0,102.0,90.0,3.0,2.0,2.0,CENTRO
1220000.0,180.0,110.0,3.0,1.0,2.0,CENTRO
2750000.0,114.0,114.0,3.0,2.0,2.0,EL REFUGIO
7350000.0,329.0,278.0,4.0,5.0,3.0,LOMAS DE JURIQUILLA
2850000.0,122.0,108.0,3.0,2.0,2.0,CENTRO
7800000.0,310.0,165.0,4.0,5.0,3.0,FUNDADORES
351000.0,280.0,123.0,5.0,3.0,1.0,VILLAS DEL MESON
749000.0,523.0,523.0,4.0,3.0,4.0,HIDALGO
357000.0,100.0,100.0,3.0,1.0,1.0,JURICA
6800000.0,724.0,516.0,6.0,5.0,3.0,CENTRO
12650000.0,354.0,330.0,4.0,3.0,0.0,JURICA
3300000.0,310.0,260.0,3.0,3.0,4.0,JURIQUILLA PRIVADA
5700000.0,354.0,321.0,4.0,4.0,2.0,SAN FRANCISCO JURIQUILLA
960000.0,476.0,215.0,3.0,2.0,4.0,LAS HADAS
3600000.0,195.0,182.0,3.0,3.0,2.0,MISION DE SAN JERONIMO
8390000.0,256.0,247.0,3.0,2.0,3.0,PASEOS DEL PEDREGAL
883300.0,450.0,316.0,3.0,3.0,2.0,MERCURIO
860000.0,100.0,100.0,3.0,2.0,2.0,COLINAS DEL CIMATARIO
1340000.0,185.0,160.0,3.0,3.0,2.0,VISTA HERMOSA
5995900.0,388.0,288.0,3.0,3.0,2.0,LA JOYA
1250000.0,486.0,326.0,4.0,4.0,2.0,EX-HACIENDA EL TINTERO
1105000.0,126.0,120.0,3.0,1.0,1.0,ANGELES
900000.0,320.0,250.0,4.0,3.0,2.0,PASEOS DEL PEDREGAL
3400000.0,120.0,120.0,3.0,2.0,2.0,LA CAMPANA
5000000.0,190.0,0.0,3.0,2.0,2.0,LA LUNA
949000.0,205.0,180.0,3.0,2.0,2.0,EL TINTERO
761993.0,550.0,550.0,5.0,4.0,4.0,CIUDAD DEL SOL
1110900.0,190.0,130.0,3.0,2.0,1.0,COLINAS DEL CIMATARIO
980900.0,126.0,120.0,3.0,1.0,1.0,LOS ROBLES
730000.0,132.0,74.0,3.0,1.0,1.0,PASEOS DEL PEDREGAL
3300000.0,395.0,395.0,4.0,4.0,3.0,JURIQUILLA
849000.0,100.0,100.0,3.0,2.0,2.0,MILENIO III
640000.0,342.0,342.0,4.0,3.0,2.0,SONTERRA
1415004.0,127.0,127.0,4.0,2.0,2.0,VILLAS DE SANTIAGO
2835000.0,260.0,200.0,4.0,3.0,2.0,EL CAMPANARIO
350000.0,157.0,152.0,2.0,2.0,2.0,HIDALGO
870000.0,160.0,90.0,3.0,2.0,2.0,EL REFUGIO
351000.0,120.0,90.0,3.0,2.0,1.0,JURICA
4350000.0,100.0,100.0,3.0,2.0,2.0,CIMATARIO
22550000.0,200.0,180.0,4.0,3.0,3.0,CUESTA AZUL
3300000.0,177.0,144.0,3.0,2.0,3.0,EL REFUGIO
2700000.0,210.0,135.0,3.0,2.0,2.0,CUMBRES DEL LAGO
9600000.0,357.0,270.0,4.0,4.0,2.0,LOMAS DE JURIQUILLA
7950000.0,431.0,251.0,5.0,5.0,3.0,CIMATARIO
6250000.0,435.0,300.0,3.0,4.0,3.0,MILENIO III
8500000.0,730.0,385.0,4.0,5.0,4.0,LOMAS DE JURIQUILLA
5200000.0,300.0,250.0,4.0,4.0,3.0,PASEOS DEL PEDREGAL
16150000.0,450.0,1.0,3.0,3.0,3.0,CUESTA BONITA
607929.0,130.0,100.0,3.0,3.0,2.0,MILENIO III
3780000.0,251.0,166.0,4.0,5.0,3.0,EL REFUGIO
3300000.0,178.0,140.0,4.0,3.0,2.0,SONTERRA
2490000.0,128.0,124.0,3.0,2.0,2.0,MILENIO III
2420000.0,127.0,111.0,3.0,3.0,2.0,RESIDENCIAL PARQUE LA GLORIA
3400000.0,223.0,203.0,3.0,2.0,3.0,MILENIO III
3300000.0,151.0,104.0,3.0,3.0,2.0,JURIQUILLA
3980000.0,235.0,189.0,5.0,4.0,3.0,CUMBRES DEL LAGO
2160500.0,109.0,90.0,3.0,2.0,2.0,JURICA
6297000.0,250.0,150.0,3.0,3.0,2.0,CENTRO
5900000.0,297.0,200.0,3.0,2.0,6.0,JURIQUILLA
5500000.0,294.0,180.0,3.0,4.0,2.0,JURIQUILLA
13600000.0,350.0,315.0,3.0,3.0,3.0,JURIQUILLA
2490000.0,178.0,128.0,3.0,3.0,2.0,EL MARQUES QUERETANO
2850000.0,160.0,94.0,2.0,2.0,3.0,JURICA
2850000.0,160.0,95.0,2.0,2.0,3.0,EL REFUGIO
3300000.0,130.0,120.0,3.0,2.0,2.0,ALAMOS 2
4480000.0,206.0,205.0,3.0,3.0,3.0,SONTERRA
2850000.0,142.0,141.0,3.0,2.0,2.0,SONTERRA
5600000.0,313.0,250.0,3.0,3.0,2.0,JURIQUILLA
1990000.0,150.0,110.0,3.0,2.0,2.0,SONTERRA
2830000.0,145.0,112.0,3.0,2.0,2.0,CIUDAD DEL SOL
3300000.0,170.0,95.0,2.0,2.0,2.0,SANTIAGO
2250000.0,174.0,120.0,3.0,2.0,1.0,VALLE DE JURIQUILLA
1540000.0,116.0,116.0,3.0,3.0,1.0,SANTA FE
351000.0,80.0,65.0,1.0,1.0,1.0,PASEOS DEL PEDREGAL
4350000.0,205.0,180.0,3.0,2.0,3.0,JURIQUILLA
2890000.0,182.0,178.0,3.0,2.0,1.0,CENTRO
2750000.0,291.18,91.69,0.0,1.0,2.0,JURIQUILLA
2450000.0,177.0,150.0,3.0,3.0,2.0,SONTERRA
3500000.0,190.0,0.0,3.0,2.0,3.0,EL REFUGIO
