Unnamed: 0,House,Price,Ubication,Features
46,Casa En Venta En Fraccionamiento Residencial El Refugio,"5,400,000","Dos Peñas 1100, El Refugio Residencial, Querétaro, Querétaro","['Superficie total234.22 m²', 'Superficie construida250.13 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes4', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte']"
47,Casa En Venta En Fraccionamiento Residencial El Refugio,"6,350,000","Begoña 500, El Refugio Residencial, Querétaro, Querétaro","['Superficie total254.96 m²', 'Superficie construida310 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad14 años', 'Ambientes4', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte']"
48,Casa En Venta En Zibatá,"3,400,000","Circuito Ceiba, Zibatá, Querétaro, Querétaro","['Superficie total131.68 m²', 'Superficie construida195.54 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad8 años', 'Ambientes4', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte']"
49,,"4,500,000",,"['Superficie total129.79 m²', 'Superficie construida129.79 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad8 años', 'Ambientes4', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte']"
0,"Bonita Casa En Venta Ubicada En Mision De San Carlos, Queretaro","3,300,000","Boulevard Privada Juriquilla, Juriquilla, Querétaro, Querétaro","['no disponible', 'no disponible']"
1," ¡excelente Oportunidad! Casa En Venta, Muy Por Debajo Del Costo Comercial #","750,000","Cerro Loreto, Colinas Del Cimatario, Querétaro, Querétaro","['Superficie total200 m²', 'Superficie construida200 m²', 'Recámaras200', 'Baños3', 'Estacionamientos4', 'Es propiedad en remateSí', 'Antigüedad8 años', 'Ambientes1', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónNorte']"
2," ¡excelente Oportunidad! Casa En Venta, Muy Por Debajo Del Costo Comercial #","699,000","C. Cerro Del Aguila 132, Santiago, Querétaro, Querétaro","['Superficie total230 m²', 'Superficie construida230 m²', 'Recámaras4', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad8 años', 'Ambientes1', 'Bodegas1', 'Cantidad de pisos3', 'Tipo de casaCasa', 'OrientaciónSur']"
3,"Hermosa Casa En Venta, Cerro Del Águila Querétaro As ","650,000","Hacienda De Chichimequillas, Villas Del Mesón, Querétaro, Querétaro","['Superficie total500 m²', 'Superficie construida500 m²', 'Recámaras5', 'Baños4', 'Estacionamientos4', 'Es propiedad en remateSí', 'Antigüedad10 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos1', 'Tipo de casaCasa', 'OrientaciónNorte']"
4,Venta De Casa En Querétaro Jg,"890,000","Calle Sta. Fe 45, Juriquilla, Querétaro, Querétaro","['Superficie total450 m²', 'Superficie construida400 m²', 'Recámaras4', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateSí', 'Cantidad de pisos2', 'Tipo de casaCasa']"
5,"Hermosa Casa En Venta, Santa Fe Querétaro As","708,500","Blvd. Jurica La Campana 1167, Jurica, Querétaro, Querétaro","['Superficie total150 m²', 'Superficie construida150 m²', 'Recámaras4', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad10 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónNorte']"
6,Hermosa Casa En Venta Jurica La Campana Querétaro As,"750,000","Lago Chacamax 125, Juriquilla, Querétaro, Querétaro","['Superficie total375 m²', 'Superficie construida375 m²', 'Recámaras5', 'Baños4', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad10 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónNorte']"
7,"Hermosa Casa En Venta, Lago Chacamax Queretaro","782,000","Lago De Chapala 132, Juriquilla, Querétaro, Querétaro","['Superficie total380 m²', 'Superficie construida350 m²', 'Recámaras4', 'Baños4', 'Estacionamientos3', 'Es propiedad en remateSí', 'Antigüedad10 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónNorte']"
8,"Hermosa Casa En Venta, Lago Chapala Juriquilla As","700,000","Cerro Loreto, Colinas Del Cimatario, Querétaro, Querétaro","['Superficie total220 m²', 'Superficie construida217 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad10 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónNorte']"
9,"Excelente Oportunidad Venta De Casa Ubicada En Colinas Del Cimatario, Querétaro","699,000","Cascada Del Encanto 200, Real De Juriquilla, Querétaro, Querétaro","['Superficie total230 m²', 'Superficie construida230 m²', 'Recámaras4', 'Baños2', 'Estacionamientos3', 'Es propiedad en remateSí', 'Antigüedad18 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos3', 'Tipo de casaCasa', 'OrientaciónPoniente']"
